timestamp,robot_id,location,avg_torque,avg_vibration,avg_power,avg_temperature,avg_joint_movement,avg_anomaly_score,avg_oee,count_critical,count_warning,count_normal,total_downtime_hrs,total_cost_failure,total_savings,total_carbon_saving,avg_defect_rate,total_energy_waste
2024-01-01,IRB_1200_01,Quality_Check,54.84,1.93,421.6,47.29,86.54,8.34,0.65,0,0,96,0.0,0.0,0.0,0.0,0.5,142.4
2024-01-01,IRB_1200_02,Assembly_Line_B,67.76,0.77,365.67,46.47,105.11,15.24,0.84,0,0,96,0.0,0.0,0.0,0.0,0.53,139.9
2024-01-01,IRB_1200_03,Welding_Station,71.52,1.35,380.82,38.57,89.51,8.98,0.69,0,0,96,0.0,0.0,0.0,0.0,0.52,136.1
2024-01-01,IRB_1200_04,Assembly_Line_A,55.52,1.33,250.55,40.9,108.17,14.38,0.83,0,0,96,0.0,0.0,0.0,0.0,0.55,137.3
2024-01-01,IRB_1200_05,Painting_Station,43.31,0.8,309.83,52.84,85.34,20.97,0.68,0,0,96,0.0,0.0,0.0,0.0,0.55,144.9
2024-01-01,IRB_6700_01,Quality_Check,61.8,1.41,434.86,45.28,107.74,5.85,0.83,0,0,96,0.0,0.0,0.0,0.0,0.58,129.6
2024-01-01,IRB_6700_02,Packaging_Line,69.9,1.66,312.39,38.24,114.6,9.13,0.87,0,0,96,0.0,0.0,0.0,0.0,0.52,160.2
2024-01-01,IRB_6700_03,Assembly_Line_A,66.84,1.87,435.27,38.82,111.41,5.58,0.84,0,0,96,0.0,0.0,0.0,0.0,0.55,144.6
2024-01-02,IRB_1200_01,Quality_Check,55.37,1.92,419.49,46.83,86.42,7.78,0.64,0,0,96,0.0,0.0,0.0,0.0,0.57,142.1
2024-01-02,IRB_1200_02,Assembly_Line_B,68.24,0.78,365.13,46.44,105.47,15.13,0.84,0,0,96,0.0,0.0,0.0,0.0,0.51,134.8
2024-01-02,IRB_1200_03,Welding_Station,71.38,1.34,382.43,38.6,89.57,8.6,0.69,0,0,96,0.0,0.0,0.0,0.0,0.56,138.5
2024-01-02,IRB_1200_04,Assembly_Line_A,55.89,1.34,249.05,40.95,108.42,13.77,0.83,0,0,96,0.0,0.0,0.0,0.0,0.57,150.1
2024-01-02,IRB_1200_05,Painting_Station,43.02,0.81,309.79,52.77,85.48,20.36,0.68,0,0,96,0.0,0.0,0.0,0.0,0.53,145.9
2024-01-02,IRB_6700_01,Quality_Check,61.72,1.42,434.86,45.26,108.46,5.4,0.83,0,0,96,0.0,0.0,0.0,0.0,0.55,158.3
2024-01-02,IRB_6700_02,Packaging_Line,69.74,1.64,311.62,38.29,114.5,9.76,0.87,0,0,96,0.0,0.0,0.0,0.0,0.53,144.5
2024-01-02,IRB_6700_03,Assembly_Line_A,67.08,1.9,433.92,38.58,111.9,5.9,0.84,0,0,96,0.0,0.0,0.0,0.0,0.54,148.4
2024-01-03,IRB_1200_01,Quality_Check,54.66,1.92,419.58,46.93,86.29,9.08,0.65,0,0,96,0.0,0.0,0.0,0.0,0.53,145.1
2024-01-03,IRB_1200_02,Assembly_Line_B,68.02,0.76,362.93,46.47,104.61,15.25,0.83,0,0,96,0.0,0.0,0.0,0.0,0.5,137.0
2024-01-03,IRB_1200_03,Welding_Station,71.59,1.35,380.32,38.53,89.63,8.68,0.69,0,0,96,0.0,0.0,0.0,0.0,0.57,151.8
2024-01-03,IRB_1200_04,Assembly_Line_A,55.58,1.36,249.29,40.88,107.98,13.84,0.83,0,0,96,0.0,0.0,0.0,0.0,0.62,132.2
2024-01-03,IRB_1200_05,Painting_Station,43.64,0.81,311.39,52.69,85.79,20.07,0.68,0,0,96,0.0,0.0,0.0,0.0,0.55,153.1
2024-01-03,IRB_6700_01,Quality_Check,61.43,1.41,433.92,45.29,108.25,5.52,0.83,0,0,96,0.0,0.0,0.0,0.0,0.54,139.1
2024-01-03,IRB_6700_02,Packaging_Line,69.85,1.65,313.23,38.37,114.53,10.33,0.87,0,0,96,0.0,0.0,0.0,0.0,0.6,136.8
2024-01-03,IRB_6700_03,Assembly_Line_A,66.95,1.89,435.31,38.79,111.29,5.34,0.83,0,0,96,0.0,0.0,0.0,0.0,0.56,156.6
2024-01-04,IRB_1200_01,Quality_Check,54.99,1.92,419.38,46.96,86.01,8.3,0.64,0,0,96,0.0,0.0,0.0,0.0,0.53,145.7
2024-01-04,IRB_1200_02,Assembly_Line_B,67.6,0.78,367.08,46.54,105.36,15.28,0.84,0,0,96,0.0,0.0,0.0,0.0,0.53,137.9
2024-01-04,IRB_1200_03,Welding_Station,71.41,1.34,379.98,38.35,89.58,8.96,0.69,0,0,96,0.0,0.0,0.0,0.0,0.52,142.0
2024-01-04,IRB_1200_04,Assembly_Line_A,55.49,1.35,248.94,40.97,108.36,14.1,0.84,0,0,96,0.0,0.0,0.0,0.0,0.55,149.5
2024-01-04,IRB_1200_05,Painting_Station,43.26,0.81,309.9,52.6,85.79,20.26,0.68,0,0,96,0.0,0.0,0.0,0.0,0.56,159.4
2024-01-04,IRB_6700_01,Quality_Check,61.59,1.41,433.2,45.29,108.16,5.13,0.83,0,0,96,0.0,0.0,0.0,0.0,0.51,150.4
2024-01-04,IRB_6700_02,Packaging_Line,70.02,1.64,313.33,38.22,114.88,10.51,0.87,0,0,96,0.0,0.0,0.0,0.0,0.56,148.7
2024-01-04,IRB_6700_03,Assembly_Line_A,66.94,1.87,435.27,38.8,111.78,5.79,0.84,0,0,96,0.0,0.0,0.0,0.0,0.55,146.8
2024-01-05,IRB_1200_01,Quality_Check,54.84,1.92,420.7,46.95,86.27,7.94,0.65,0,0,96,0.0,0.0,0.0,0.0,0.52,151.0
2024-01-05,IRB_1200_02,Assembly_Line_B,67.99,0.76,368.12,46.57,105.33,15.71,0.84,0,0,96,0.0,0.0,0.0,0.0,0.55,162.1
2024-01-05,IRB_1200_03,Welding_Station,71.51,1.35,380.61,38.42,89.1,9.05,0.69,0,0,96,0.0,0.0,0.0,0.0,0.5,148.3
2024-01-05,IRB_1200_04,Assembly_Line_A,55.51,1.34,250.3,40.98,108.46,13.54,0.84,0,0,96,0.0,0.0,0.0,0.0,0.56,168.2
2024-01-05,IRB_1200_05,Painting_Station,43.18,0.81,310.79,52.81,85.67,20.8,0.68,0,0,96,0.0,0.0,0.0,0.0,0.59,148.5
2024-01-05,IRB_6700_01,Quality_Check,61.47,1.39,433.71,45.22,108.15,5.44,0.83,0,0,96,0.0,0.0,0.0,0.0,0.56,146.7
2024-01-05,IRB_6700_02,Packaging_Line,70.05,1.64,312.72,38.37,115.06,10.03,0.87,0,0,96,0.0,0.0,0.0,0.0,0.54,120.8
2024-01-05,IRB_6700_03,Assembly_Line_A,67.17,1.87,432.99,38.52,111.51,5.29,0.84,0,0,96,0.0,0.0,0.0,0.0,0.53,127.0
2024-01-06,IRB_1200_01,Quality_Check,54.89,1.93,419.76,47.03,86.2,7.98,0.64,0,0,96,0.0,0.0,0.0,0.0,0.57,138.7
2024-01-06,IRB_1200_02,Assembly_Line_B,67.86,0.77,364.5,46.49,105.23,15.05,0.84,0,0,96,0.0,0.0,0.0,0.0,0.52,134.2
2024-01-06,IRB_1200_03,Welding_Station,71.36,1.33,380.4,38.35,88.86,9.25,0.69,0,0,96,0.0,0.0,0.0,0.0,0.55,135.0
2024-01-06,IRB_1200_04,Assembly_Line_A,55.66,1.32,248.83,41.06,107.89,14.59,0.83,0,0,96,0.0,0.0,0.0,0.0,0.55,136.0
2024-01-06,IRB_1200_05,Painting_Station,43.12,0.8,309.17,52.94,85.98,20.52,0.68,0,0,96,0.0,0.0,0.0,0.0,0.52,138.7
2024-01-06,IRB_6700_01,Quality_Check,61.5,1.44,434.03,45.38,108.61,4.36,0.83,0,0,96,0.0,0.0,0.0,0.0,0.54,138.4
2024-01-06,IRB_6700_02,Packaging_Line,70.1,1.66,314.18,38.38,114.84,9.69,0.87,0,0,96,0.0,0.0,0.0,0.0,0.52,140.7
2024-01-06,IRB_6700_03,Assembly_Line_A,67.22,1.89,433.01,38.84,111.5,5.17,0.83,0,0,96,0.0,0.0,0.0,0.0,0.57,150.8
